accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,report_url
0000797468-15-000006,2015-05-06,2015-03-31,2015-05-06T16:21:22.000Z,34,10-Q,001-09210,15837292,,5805714,1,0,oxyform10q3312015.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746815000006/oxyform10q3312015.htm
0000797468-15-000003,2015-02-23,2014-12-31,2015-02-23T16:23:58.000Z,34,10-K,001-09210,15639960,,24436642,1,0,oxy10k12-31x2014.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746815000003/oxy10k12-31x2014.htm
0000797468-14-000079,2014-10-31,2014-09-30,2014-10-30T17:41:28.000Z,34,10-Q,001-09210,141184200,,10318702,1,0,oxyform10q9302014.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746814000079/oxyform10q9302014.htm
0000797468-14-000073,2014-08-05,2014-06-30,2014-08-05T10:35:21.000Z,34,10-Q,001-09210,141015012,,10111131,1,0,oxyform10q63014.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746814000073/oxyform10q63014.htm
0001445305-14-001808,2014-05-05,2014-03-31,2014-05-05T12:07:11.000Z,34,10-Q,001-09210,14812204,,8744370,1,0,oxy10q3312014.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000144530514001808/oxy10q3312014.htm
0000797468-14-000011,2014-03-03,2013-12-31,2014-03-03T14:00:57.000Z,34,10-K,001-09210,14659668,,24750694,1,0,oxy10k12-31x2013.htm,10-K,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746814000011/oxy10k12-31x2013.htm
0000797468-13-000106,2013-10-30,2013-09-30,2013-10-30T13:17:11.000Z,34,10-Q,001-09210,131178619,,11050867,1,0,oxy10q9302013.htm,10-Q,OXY,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/797468/000079746813000106/oxy10q9302013.htm
0000950170-24-006884,2024-01-24,2023-12-31,2024-01-24T12:15:58.000Z,34,10-K,001-04601,24555287,,25184419,1,1,slb-20231231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000095017024006884/slb-20231231.htm
0000950170-23-055042,2023-10-25,2023-09-30,2023-10-25T10:21:58.000Z,34,10-Q,001-04601,231344371,,10920952,1,1,slb-20230930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000095017023055042/slb-20230930.htm
0000950170-23-034590,2023-07-26,2023-06-30,2023-07-26T10:12:57.000Z,34,10-Q,001-04601,231110552,,12140566,1,1,slb-20230630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000095017023034590/slb-20230630.htm
0000950170-23-014656,2023-04-26,2023-03-31,2023-04-26T11:45:01.000Z,34,10-Q,001-04601,23848058,,8643756,1,1,slb-20230331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000095017023014656/slb-20230331.htm
0001564590-23-000762,2023-01-25,2022-12-31,2023-01-25T10:10:50.000Z,34,10-K,001-04601,23550102,,28590392,1,1,slb-10k_20221231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459023000762/slb-10k_20221231.htm
0001564590-22-035199,2022-10-26,2022-09-30,2022-10-26T10:24:00.000Z,34,10-Q,001-04601,221331698,,10774298,1,1,slb-10q_20220930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459022035199/slb-10q_20220930.htm
0001564590-22-026594,2022-07-27,2022-06-30,2022-07-27T10:21:35.000Z,34,10-Q,001-04601,221109347,,10890080,1,1,slb-10q_20220630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459022026594/slb-10q_20220630.htm
0001564590-22-015889,2022-04-27,2022-03-31,2022-04-27T09:06:15.000Z,34,10-Q,001-04601,22856622,,8567158,1,1,slb-10q_20220331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459022015889/slb-10q_20220331.htm
0001564590-22-002421,2022-01-26,2021-12-31,2022-01-26T12:11:00.000Z,34,10-K,001-04601,22556725,,29759943,1,1,slb-10k_20211231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459022002421/slb-10k_20211231.htm
0001564590-21-052182,2021-10-27,2021-09-30,2021-10-27T09:45:12.000Z,34,10-Q,001-04601,211351031,,13032499,1,1,slb-10q_20210930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459021052182/slb-10q_20210930.htm
0001564590-21-038547,2021-07-28,2021-06-30,2021-07-28T12:46:10.000Z,34,10-Q,001-04601,211121367,,12686008,1,1,slb-10q_20210630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459021038547/slb-10q_20210630.htm
0001564590-21-021157,2021-04-28,2021-03-31,2021-04-28T10:16:31.000Z,34,10-Q,001-04601,21862064,,9188342,1,1,slb-10q_20210331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459021021157/slb-10q_20210331.htm
0001564590-21-002477,2021-01-27,2020-12-31,2021-01-27T09:53:12.000Z,34,10-K,001-04601,21557154,,32772634,1,1,slb-10k_20201231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459021002477/slb-10k_20201231.htm
0001564590-20-047045,2020-10-21,2020-09-30,2020-10-21T11:26:57.000Z,34,10-Q,001-04601,201249958,,14664345,1,1,slb-10q_20200930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459020047045/slb-10q_20200930.htm
0001564590-20-034137,2020-07-29,2020-06-30,2020-07-29T11:21:05.000Z,34,10-Q,001-04601,201056294,,13467100,1,1,slb-10q_20200630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459020034137/slb-10q_20200630.htm
0001564590-20-017823,2020-04-22,2020-03-31,2020-04-22T09:19:20.000Z,34,10-Q,001-04601,20806803,,9354338,1,1,slb-10q_20200331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459020017823/slb-10q_20200331.htm
0001564590-20-001578,2020-01-22,2019-12-31,2020-01-22T11:46:23.000Z,34,10-K,001-04601,20538173,,29218200,1,1,slb-10k_20191231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459020001578/slb-10k_20191231.htm
0001564590-19-037505,2019-10-23,2019-09-30,2019-10-23T11:29:53.000Z,34,10-Q,001-04601,191163140,,13333219,1,1,slb-10q_20190930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459019037505/slb-10q_20190930.htm
0001564590-19-025739,2019-07-24,2019-06-30,2019-07-24T11:28:04.000Z,34,10-Q,001-04601,19969797,,11904028,1,1,slb-10q_20190630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459019025739/slb-10q_20190630.htm
0001564590-19-012635,2019-04-24,2019-03-31,2019-04-24T11:26:17.000Z,34,10-Q,001-04601,19763048,,7336890,1,0,slb-10q_20190331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459019012635/slb-10q_20190331.htm
0001564590-19-000928,2019-01-23,2018-12-31,2019-01-23T11:24:12.000Z,34,10-K,001-04601,19536819,,27943779,1,0,slb-10k_20181231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459019000928/slb-10k_20181231.htm
0001564590-18-024846,2018-10-24,2018-09-30,2018-10-24T11:22:57.000Z,34,10-Q,001-04601,181135769,,10656177,1,0,slb-10q_20180930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459018024846/slb-10q_20180930.htm
0001564590-18-017379,2018-07-25,2018-06-30,2018-07-25T12:17:58.000Z,34,10-Q,001-04601,18968207,,11238087,1,0,slb-10q_20180630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459018017379/slb-10q_20180630.htm
0001564590-18-008981,2018-04-25,2018-03-31,2018-04-25T11:16:47.000Z,34,10-Q,001-04601,18773245,,8056089,1,0,slb-10q_20180331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459018008981/slb-10q_20180331.htm
0001564590-18-000821,2018-01-24,2017-12-31,2018-01-24T11:35:35.000Z,34,10-K,001-04601,18544496,,27080970,1,0,slb-10k_20171231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459018000821/slb-10k_20171231.htm
0001564590-17-019977,2017-10-25,2017-09-30,2017-10-25T11:25:37.000Z,34,10-Q,001-04601,171152377,,10797091,1,0,slb-10q_20170930.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459017019977/slb-10q_20170930.htm
0001564590-17-014007,2017-07-26,2017-06-30,2017-07-26T10:13:54.000Z,34,10-Q,001-04601,17981856,,10739342,1,0,slb-10q_20170630.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459017014007/slb-10q_20170630.htm
0001564590-17-007214,2017-04-26,2017-03-31,2017-04-26T11:24:23.000Z,34,10-Q,001-04601,17782983,,8128946,1,0,slb-10q_20170331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459017007214/slb-10q_20170331.htm
0001564590-16-016687,2016-04-27,2016-03-31,2016-04-27T06:16:28.000Z,34,10-Q,001-04601,161593261,,9126558,1,0,slb-10q_20160331.htm,10-Q,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459016016687/slb-10q_20160331.htm
0001564590-16-012009,2016-01-27,2015-12-31,2016-01-27T10:33:17.000Z,34,10-K,001-04601,161363311,,23226935,1,0,slb-10k_20151231.htm,10-K,SLB,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/87347/000156459016012009/slb-10k_20151231.htm
